rikishi1,odds1,rikishi2,odds2,ts,basho
Chiyotairyu,1.75,Yutakayama,2.08,2017-05-16T08:00:02Z,2017-05
Goeido,1.51,Yoshikaze,2.58,2017-05-16T08:00:02Z,2017-05
Hakuho,1.18181818181818,Chiyoshoma,4.85,2017-05-16T08:00:02Z,2017-05
Harumafuji,1.33333333333333,Okinoumi,3.3,2017-05-16T08:00:02Z,2017-05
Ikioi,1.58,Takakeisho,2.38,2017-05-16T08:00:02Z,2017-05
Kaisei,2.3,Myogiryu,1.62,2017-05-16T08:00:02Z,2017-05
Kakuryu,1.41,Endo,2.91,2017-05-16T08:00:02Z,2017-05
Kisenosato,1.37,Chiyonokuni,3.1,2017-05-16T08:00:02Z,2017-05
Kotoshogiku,3.52,Takayasu,1.3,2017-05-16T08:00:02Z,2017-05
Kotoyuki,1.88,Daishomaru,1.92,2017-05-16T08:00:02Z,2017-05
Mitakeumi,1.29,Tamawashi,3.6,2017-05-16T08:00:02Z,2017-05
Shodai,1.58,Aoiyama,2.38,2017-05-16T08:00:02Z,2017-05
Shohozan,1.9,Hokutofuji,1.9,2017-05-16T08:00:02Z,2017-05
Sokokurai,1.76,Kagayaki,2.06,2017-05-16T08:00:02Z,2017-05
Takarafuji,1.84,Takanoiwa,1.96,2017-05-16T08:00:02Z,2017-05
Tochiozan,1.45,Takekaze,2.76,2017-05-16T08:00:02Z,2017-05
Toyohibiki,2.03,Onosho,1.79,2017-05-16T08:00:02Z,2017-05
Ura,1.55,Ishiura,2.45,2017-05-16T08:00:02Z,2017-05
Aoiyama,1.58,Takekaze,2.38,2017-05-16T12:00:01Z,2017-05
Chiyotairyu,1.85,Kaisei,1.95,2017-05-16T12:00:01Z,2017-05
Goeido,1.45,Daieisho,2.76,2017-05-16T12:00:01Z,2017-05
Hakuho,1.11,Okinoumi,6.9,2017-05-16T12:00:01Z,2017-05
Harumafuji,1.29,Chiyonokuni,3.6,2017-05-16T12:00:01Z,2017-05
Ichinojo,1.68,Takakeisho,2.19,2017-05-16T12:00:01Z,2017-05
Ishiura,1.88,Toyohibiki,1.92,2017-05-16T12:00:01Z,2017-05
Kagayaki,1.7,Arawashi,2.15,2017-05-16T12:00:01Z,2017-05
Kakuryu,1.43,Yoshikaze,2.85,2017-05-16T12:00:01Z,2017-05
Kisenosato,1.39,Endo,3.02,2017-05-16T12:00:01Z,2017-05
Kotoshogiku,2.69,Tamawashi,1.47,2017-05-16T12:00:01Z,2017-05
Myogiryu,2.12,Daishomaru,1.72,2017-05-16T12:00:01Z,2017-05
Onosho,2.15,Yutakayama,1.7,2017-05-16T12:00:01Z,2017-05
Shodai,1.7,Takarafuji,2.15,2017-05-16T12:00:01Z,2017-05
Sokokurai,2.12,Shohozan,1.72,2017-05-16T12:00:01Z,2017-05
Takanoiwa,1.96,Hokutofuji,1.84,2017-05-16T12:00:01Z,2017-05
Takayasu,1.75,Mitakeumi,2.08,2017-05-16T12:00:01Z,2017-05
Tochiozan,1.63,Ikioi,2.29,2017-05-16T12:00:01Z,2017-05
Tokushoryu,1.6,Kotoyuki,2.34,2017-05-16T12:00:01Z,2017-05
Kisenosato,1.43,Endo,2.84,2017-05-16T13:00:02Z,2017-05
Chiyotairyu,1.8,Kaisei,2.01,2017-05-16T14:00:01Z,2017-05
Kisenosato,1.48,Endo,2.67,2017-05-16T14:00:01Z,2017-05
Kisenosato,1.51,Endo,2.56,2017-05-16T15:00:01Z,2017-05
Kisenosato,1.5,Endo,2.59,2017-05-16T19:00:01Z,2017-05
Myogiryu,2.15,Daishomaru,1.7,2017-05-16T19:00:01Z,2017-05
Takayasu,1.74,Mitakeumi,2.09,2017-05-16T19:00:01Z,2017-05
Goeido,1.44,Daieisho,2.82,2017-05-16T20:00:01Z,2017-05
Harumafuji,1.28571428571429,Chiyonokuni,3.64,2017-05-16T20:00:01Z,2017-05
Ishiura,1.86,Toyohibiki,1.94,2017-05-16T20:00:01Z,2017-05
Kakuryu,1.46,Yoshikaze,2.73,2017-05-16T20:00:01Z,2017-05
Onosho,2.1,Yutakayama,1.74,2017-05-16T20:00:01Z,2017-05
Sokokurai,2.11,Shohozan,1.72727272727273,2017-05-16T20:00:01Z,2017-05
Tochiozan,1.65,Ikioi,2.24,2017-05-16T20:00:01Z,2017-05
Ishiura,1.83,Toyohibiki,1.98,2017-05-16T21:00:01Z,2017-05
Kisenosato,1.48,Endo,2.65,2017-05-16T21:00:01Z,2017-05
Shodai,1.68,Takarafuji,2.19,2017-05-16T21:00:01Z,2017-05
Takayasu,1.71,Mitakeumi,2.14,2017-05-16T21:00:01Z,2017-05
Takayasu,1.7,Mitakeumi,2.15,2017-05-17T00:00:02Z,2017-05
Myogiryu,2.34,Daishomaru,1.6,2017-05-17T01:00:01Z,2017-05
Takayasu,1.65,Mitakeumi,2.24,2017-05-17T01:00:01Z,2017-05
Kotoshogiku,2.83,Tamawashi,1.43,2017-05-17T04:00:01Z,2017-05
Aoiyama,1.58,Takekaze,2.38,2017-05-17T08:00:02Z,2017-05
Chiyotairyu,1.8,Kaisei,2.01,2017-05-17T08:00:02Z,2017-05
Goeido,1.44,Daieisho,2.82,2017-05-17T08:00:02Z,2017-05
Hakuho,1.11,Okinoumi,6.9,2017-05-17T08:00:02Z,2017-05
Harumafuji,1.28571428571429,Chiyonokuni,3.64,2017-05-17T08:00:02Z,2017-05
Ichinojo,1.68,Takakeisho,2.19,2017-05-17T08:00:02Z,2017-05
Ishiura,1.83,Toyohibiki,1.98,2017-05-17T08:00:02Z,2017-05
Kagayaki,1.7,Arawashi,2.15,2017-05-17T08:00:02Z,2017-05
Kakuryu,1.46,Yoshikaze,2.73,2017-05-17T08:00:02Z,2017-05
Kisenosato,1.48,Endo,2.65,2017-05-17T08:00:02Z,2017-05
Kotoshogiku,2.83,Tamawashi,1.43,2017-05-17T08:00:02Z,2017-05
Myogiryu,2.34,Daishomaru,1.6,2017-05-17T08:00:02Z,2017-05
Onosho,2.1,Yutakayama,1.74,2017-05-17T08:00:02Z,2017-05
Shodai,1.68,Takarafuji,2.19,2017-05-17T08:00:02Z,2017-05
Sokokurai,2.11,Shohozan,1.72727272727273,2017-05-17T08:00:02Z,2017-05
Takanoiwa,1.96,Hokutofuji,1.84,2017-05-17T08:00:02Z,2017-05
Takayasu,1.65,Mitakeumi,2.24,2017-05-17T08:00:02Z,2017-05
Tochiozan,1.65,Ikioi,2.24,2017-05-17T08:00:02Z,2017-05
Tokushoryu,1.6,Kotoyuki,2.34,2017-05-17T08:00:02Z,2017-05
Arawashi,1.9,Ishiura,1.9,2017-05-17T12:00:01Z,2017-05
Daishomaru,1.7,Yutakayama,2.15,2017-05-17T12:00:01Z,2017-05
Goeido,1.4,Chiyonokuni,2.96,2017-05-17T12:00:01Z,2017-05
Hakuho,1.3,Mitakeumi,3.52,2017-05-17T12:00:01Z,2017-05
Harumafuji,1.14,Daieisho,5.7,2017-05-17T12:00:01Z,2017-05
Hokutofuji,1.9,Takakeisho,1.9,2017-05-17T12:00:01Z,2017-05
Ichinojo,1.45,Kagayaki,2.76,2017-05-17T12:00:01Z,2017-05
Ikioi,1.5,Aoiyama,2.59,2017-05-17T12:00:01Z,2017-05
Kakuryu,1.33,Okinoumi,3.32,2017-05-17T12:00:01Z,2017-05
Kisenosato,1.35,Chiyoshoma,3.2,2017-05-17T12:00:01Z,2017-05
Myogiryu,1.75,Onosho,2.08,2017-05-17T12:00:01Z,2017-05
Takanoiwa,1.6,Shohozan,2.34,2017-05-17T12:00:01Z,2017-05
Takarafuji,1.8,Takekaze,2.01,2017-05-17T12:00:01Z,2017-05
Takayasu,1.48,Endo,2.65,2017-05-17T12:00:01Z,2017-05
Tamawashi,1.9,Yoshikaze,1.9,2017-05-17T12:00:01Z,2017-05
Terunofuji,1.58,Kotoshogiku,2.38,2017-05-17T12:00:01Z,2017-05
